ID: 1, Title: To Kill a Mockingbird, Author: Harper Lee, Genre: Fiction
ID: 2, Title: Harry Potter , Author: J.K Rowling, Genre: Science Fiction
ID: 3, Title: The Little Prince, Author: Antoine de Saint-Exupéry, Genre: Romance
ID: 4, Title: The Giving Tree , Author:  Shel Silverstein, Genre: Fiction
ID: 1, Title: To Kill a Mockingbird, Author: Harper Lee, Genre: Fiction
ID: 2, Title: Harry Potter , Author: J.K Rowling, Genre: Science Fiction
ID: 3, Title: The Little Prince, Author: Antoine de Saint-Exupéry, Genre: Romance
ID: 4, Title: The Giving Tree , Author:  Shel Silverstein, Genre: Fiction
ID: 1, Title: To Kill a Mockingbird, Author: Harper Lee, Genre: Fiction
ID: 2, Title: Harry Potter , Author: J.K Rowling, Genre: Science Fiction
ID: 3, Title: The Little Prince, Author: Antoine de Saint-Exupéry, Genre: Romance
ID: 4, Title: The Giving Tree , Author:  Shel Silverstein, Genre: Fiction
